Data,HurricaneName,Label,HurricaneID
"[[0.0, 123.6, 11.2], [6.0, 122.9, 12.1], [12.0, 122.5, 13.1], [18.0, 122.0, 14.2], [24.0, 121.4, 15.3], [30.0, 120.8, 16.4], [36.0, 120.2, 17.1], [42.0, 119.4, 17.8], [48.0, 118.4, 18.6], [54.0, 117.2, 19.3], [60.0, 115.9, 19.9], [66.0, 114.7, 20.4], [72.0, 113.8, 20.7], [78.0, 113.1, 20.9], [84.0, 112.4, 21.0], [90.0, 111.8, 21.2], [96.0, 111.2, 21.4], [102.0, 110.6, 21.5], [108.0, 109.9, 21.8], [114.0, 109.2, 22.2], [120.0, 108.5, 22.5], [126.0, 107.8, 23.0], [132.0, 106.6, 23.7], [138.0, 105.6, 24.5], [144.0, 105.2, 25.2], [150.0, 104.8, 25.9], [156.0, 104.4, 26.6], [162.0, 104.1, 27.3], [168.0, 103.9, 28.0], [174.0, 103.9, 28.7], [180.0, 103.9, 29.3], [186.0, 103.9, 29.8], [192.0, 103.9, 30.6], [198.0, 103.9, 31.7], [204.0, 104.2, 33.0], [210.0, 104.7, 34.5], [216.0, 105.6, 36.0], [222.0, 107.0, 38.0], [228.0, 109.2, 41.2], [234.0, 112.1, 44.9], [240.0, 116.2, 48.9], [246.0, 119.5, 52.4], [252.0, 120.9, 54.3], [258.0, 122.3, 55.5], [264.0, 123.9, 56.9], [270.0, 125.5, 58.0], [276.0, 127.6, 58.4], [282.0, 129.6, 58.2], [288.0, 131.1, 57.8], [294.0, 132.6, 57.4], [300.0, 134.1, 57.1], [306.0, 136.0, 56.7], [312.0, 137.9, 56.8]]",s195405,c3,0
"[[0.0, 115.8, 25.1], [6.0, 115.0, 25.8], [12.0, 114.5, 26.5], [18.0, 114.1, 27.2], [24.0, 113.7, 27.9], [30.0, 113.3, 28.6], [36.0, 113.0, 29.3], [42.0, 112.7, 30.1], [48.0, 112.5, 31.0], [54.0, 112.6, 31.9], [60.0, 112.9, 32.8], [66.0, 113.2, 33.8], [72.0, 113.7, 35.0], [78.0, 114.6, 35.9], [84.0, 115.7, 36.8], [90.0, 116.6, 37.7], [96.0, 117.6, 38.5], [102.0, 118.4, 39.2], [108.0, 119.3, 39.6], [114.0, 119.7, 40.4], [120.0, 120.8, 41.0], [126.0, 122.5, 41.8], [132.0, 125.4, 42.2], [138.0, 128.7, 42.4], [144.0, 132.5, 42.2], [150.0, 135.5, 41.5]]",s200108,c2,1
"[[0.0, 129.0, 15.2], [6.0, 129.0, 15.3], [12.0, 129.0, 15.5], [18.0, 129.0, 15.7], [24.0, 129.0, 16.0], [30.0, 129.0, 16.3], [36.0, 129.0, 16.7], [42.0, 129.0, 17.1], [48.0, 129.0, 17.5], [54.0, 129.1, 18.1], [60.0, 129.5, 18.7], [66.0, 129.8, 18.7], [72.0, 130.2, 18.7], [78.0, 130.8, 18.0], [84.0, 130.8, 17.2], [90.0, 130.6, 16.4], [96.0, 130.1, 15.6], [102.0, 129.7, 15.1], [108.0, 129.0, 14.7], [114.0, 128.1, 14.1], [120.0, 127.0, 14.0]]",s195206,c2,2
"[[0.0, 134.1, 12.6], [6.0, 133.1, 12.9], [12.0, 132.0, 13.2], [18.0, 131.0, 13.3], [24.0, 129.9, 13.5], [30.0, 128.8, 13.7], [36.0, 127.7, 13.8], [42.0, 126.7, 14.0], [48.0, 125.6, 14.2], [54.0, 124.5, 14.5], [60.0, 123.6, 15.0], [66.0, 123.0, 15.3], [72.0, 122.3, 15.9], [78.0, 122.0, 16.6], [84.0, 121.8, 17.3], [90.0, 121.8, 18.1], [96.0, 121.9, 19.0], [102.0, 122.0, 20.0], [108.0, 122.0, 21.1], [114.0, 122.2, 22.2], [120.0, 122.2, 22.9], [126.0, 122.2, 23.7], [132.0, 122.2, 24.4], [138.0, 122.2, 25.2], [144.0, 122.2, 26.0], [150.0, 122.2, 27.0], [156.0, 122.2, 27.8], [162.0, 122.3, 28.9], [168.0, 122.5, 30.3], [174.0, 122.8, 31.7], [180.0, 123.5, 33.0], [186.0, 124.4, 34.4], [192.0, 125.5, 35.6], [198.0, 126.8, 36.8], [204.0, 128.0, 38.0], [210.0, 129.1, 39.4], [216.0, 130.2, 40.7], [222.0, 131.4, 42.1], [228.0, 132.0, 43.8], [234.0, 133.5, 46.0], [240.0, 135.5, 48.5]]",s199007,c3,3
"[[0.0, 110.2, 22.4], [6.0, 108.9, 21.9], [12.0, 107.5, 21.6], [18.0, 106.2, 21.2], [24.0, 104.9, 20.9], [30.0, 103.6, 20.6], [36.0, 102.3, 20.4], [42.0, 101.0, 20.3], [48.0, 99.7, 20.2], [54.0, 98.4, 20.2], [60.0, 97.2, 20.4], [66.0, 96.0, 20.8], [72.0, 94.9, 21.1], [78.0, 93.7, 21.5], [84.0, 92.5, 22.0], [90.0, 91.2, 22.4], [96.0, 89.9, 22.8], [102.0, 89.0, 22.9], [108.0, 88.1, 23.0], [114.0, 87.4, 23.1], [120.0, 86.8, 23.2], [126.0, 86.4, 23.2], [132.0, 85.8, 23.3], [138.0, 85.1, 23.5], [144.0, 84.4, 23.7], [150.0, 83.7, 23.8], [156.0, 83.0, 24.0], [162.0, 82.5, 24.1], [168.0, 82.2, 24.3], [174.0, 82.0, 24.8], [180.0, 81.7, 25.1], [186.0, 81.3, 25.2], [192.0, 81.0, 25.3]]",s197503,c3,4
"[[0.0, 159.7, 15.4], [6.0, 158.3, 15.7], [12.0, 156.9, 15.9], [18.0, 155.5, 16.1], [24.0, 154.0, 16.4], [30.0, 152.5, 16.8], [36.0, 151.0, 17.1], [42.0, 149.3, 17.5], [48.0, 147.9, 18.0], [54.0, 146.5, 18.6], [60.0, 145.3, 19.3], [66.0, 144.2, 20.0], [72.0, 143.2, 20.7], [78.0, 142.4, 21.7], [84.0, 142.0, 22.7], [90.0, 141.7, 23.7], [96.0, 141.2, 24.8], [102.0, 140.9, 25.8], [108.0, 140.6, 26.3], [114.0, 140.4, 26.7], [120.0, 139.6, 26.6], [126.0, 138.6, 26.5], [132.0, 137.3, 26.4], [138.0, 136.1, 26.3], [144.0, 135.0, 26.2], [150.0, 133.8, 26.1], [156.0, 132.7, 26.0], [162.0, 131.3, 26.2], [168.0, 130.7, 26.5], [174.0, 130.3, 26.8], [180.0, 129.8, 27.3], [186.0, 129.3, 27.7], [192.0, 129.1, 27.9], [198.0, 128.8, 28.2], [204.0, 128.5, 28.4], [210.0, 128.1, 28.8], [216.0, 127.8, 29.0], [222.0, 127.4, 29.4], [228.0, 126.7, 30.0], [234.0, 125.9, 30.8], [240.0, 125.1, 31.7], [246.0, 124.2, 32.6], [252.0, 123.4, 33.5], [258.0, 122.8, 34.5], [264.0, 122.4, 35.6], [270.0, 122.2, 36.7], [276.0, 122.2, 37.8], [282.0, 122.2, 38.9], [288.0, 123.1, 40.0], [294.0, 124.9, 40.8], [300.0, 127.0, 41.4], [306.0, 129.3, 41.9], [312.0, 132.2, 42.3], [318.0, 135.2, 42.7], [324.0, 138.2, 43.0], [330.0, 141.5, 43.4], [336.0, 145.0, 44.0], [342.0, 148.5, 44.5], [348.0, 152.0, 44.9], [354.0, 155.2, 44.8], [360.0, 158.5, 44.6], [366.0, 161.9, 44.3], [372.0, 165.0, 44.0], [378.0, 168.2, 44.2], [384.0, 171.5, 44.3], [390.0, 174.9, 44.6], [396.0, 178.2, 44.8], [402.0, 181.5, 45.1]]",s196703,c2,5
"[[0.0, 104.2, 16.9], [6.0, 101.9, 16.8], [12.0, 99.8, 17.2], [18.0, 97.8, 18.2], [24.0, 96.1, 19.4], [30.0, 95.0, 20.9], [36.0, 93.6, 22.4], [42.0, 93.0, 23.4], [48.0, 92.7, 24.4], [54.0, 92.5, 25.9], [60.0, 92.6, 27.5], [66.0, 93.0, 28.7], [72.0, 93.2, 29.7], [78.0, 93.9, 30.4], [84.0, 95.0, 30.9], [90.0, 96.2, 31.2], [96.0, 97.7, 31.6], [102.0, 99.8, 32.5], [108.0, 102.9, 33.8], [114.0, 106.6, 35.4], [120.0, 110.3, 37.0], [126.0, 114.3, 39.3]]",s195308,c3,6
"[[0.0, 100.0, 13.0], [6.0, 99.4, 13.4], [12.0, 98.7, 14.0], [18.0, 97.8, 14.8], [24.0, 97.0, 15.5], [30.0, 96.5, 16.3], [36.0, 96.0, 17.0], [42.0, 95.5, 17.6], [48.0, 95.0, 18.0], [54.0, 94.8, 18.4], [60.0, 94.7, 18.9], [66.0, 94.5, 19.2], [72.0, 94.3, 19.4], [78.0, 94.0, 19.4], [84.0, 93.9, 19.3], [90.0, 94.1, 19.2], [96.0, 94.2, 19.2], [102.0, 94.3, 19.4], [108.0, 95.0, 20.0], [114.0, 95.2, 20.5], [120.0, 95.4, 21.0], [126.0, 95.5, 21.7], [132.0, 95.9, 22.5], [138.0, 96.4, 23.2], [144.0, 97.1, 24.0], [150.0, 98.0, 25.1], [156.0, 99.4, 26.4], [162.0, 101.0, 27.8], [168.0, 102.7, 29.6], [174.0, 103.5, 30.5], [180.0, 103.9, 31.9], [186.0, 103.8, 33.4], [192.0, 103.6, 34.9], [198.0, 103.5, 36.0], [204.0, 103.5, 36.5]]",s196411,c3,7
"[[0.0, 100.5, 13.2], [6.0, 99.2, 13.9], [12.0, 98.2, 14.8], [18.0, 97.4, 15.7], [24.0, 96.4, 16.6], [30.0, 95.2, 17.4], [36.0, 93.7, 18.3], [42.0, 92.4, 19.1], [48.0, 91.3, 19.7], [54.0, 90.0, 20.2], [60.0, 88.9, 20.5], [66.0, 87.7, 20.6], [72.0, 86.4, 20.6], [78.0, 85.3, 20.7], [84.0, 84.2, 20.8], [90.0, 83.2, 20.9], [96.0, 81.9, 20.8], [102.0, 80.6, 20.7], [108.0, 79.2, 20.8], [114.0, 77.8, 21.1], [120.0, 76.6, 21.6], [126.0, 75.1, 22.0], [132.0, 73.0, 22.5]]",s199004,c2,8
"[[0.0, 131.1, 14.5], [6.0, 129.5, 14.8], [12.0, 127.7, 15.0], [18.0, 126.0, 15.2], [24.0, 124.4, 15.5], [30.0, 122.8, 15.8], [36.0, 121.2, 16.3], [42.0, 120.1, 16.9], [48.0, 119.3, 17.4], [54.0, 118.8, 17.8], [60.0, 118.0, 19.0], [66.0, 117.4, 20.3], [72.0, 117.2, 21.3], [78.0, 116.8, 21.8], [84.0, 116.2, 22.5], [90.0, 115.6, 22.8], [96.0, 114.9, 23.1], [102.0, 114.4, 23.3], [108.0, 113.7, 23.6], [114.0, 113.0, 23.9], [120.0, 112.7, 24.1], [126.0, 111.9, 24.3], [132.0, 111.1, 24.8], [138.0, 110.6, 25.5], [144.0, 110.2, 26.4], [150.0, 110.2, 27.2], [156.0, 110.4, 28.0], [162.0, 110.4, 29.2], [168.0, 111.4, 31.0], [174.0, 111.9, 32.8], [180.0, 112.5, 34.5], [186.0, 113.7, 37.1], [192.0, 114.6, 39.1], [198.0, 113.4, 42.2], [204.0, 113.1, 42.7], [210.0, 113.5, 43.5], [216.0, 115.2, 44.1], [222.0, 117.2, 44.7], [228.0, 119.7, 45.1], [234.0, 122.3, 45.5], [240.0, 125.1, 46.0]]",s196204,c2,9
